"promise","goal"
"성곽마을 재생프로젝트를 통한 유럽형 명품주거단지 조성","○ 한양도성의 풍경과 마을살이를 존중하는 성곽마을 보전 관리
○ 성곽마을의 역사문화와 생활문화 보전 관리 ⇒ 서울의 미래 융합자산 구축"
"서울역고가 하이라인 파크 조성","○ 기존 고가 재활용을 통해 우리시 랜드마크로 조성하고 낙후된 서울역 주변지역 재생과 연게하여 경제 활성화 도모
- 서울역 주변지역과 연계, 문화?역사 테마를 고가로 연결하여 과거와현재가 융합된 창조적 문화중심 공간으로 재탄생"
"지하철 역사 유휴공간 등을 일자리 거점 및 창업공간 제공","○ 유동 인구 및 밀집도가 높은 지하철 역사 유휴공간에 일자리 거점 공간 활용하여 취업지원 서비스 40회 실시 및 소규모 창업공간 5개소 조성"
"대학가 주변 창업거점센터 조성","○ 지하철역, 대학가 주변 등 유휴공간을 활용 창업카페(창업거점센터)를5개소 설치·운영"
"대학가 주변 도전숙 조성","○ 공급목표 : 135호"
"창업 지원서비스 제공","○ 클라우딩서비스 및 3D프린팅서비스 제공 등 창업 지원환경 조성·제공"
"잠자리, 먹거리, 일거리가 한곳에서 해결되도록 지원","○ 구한국산업인력공단 내 조성예정인 서울창업허브에서 예비창업가 등이 창업활동과 숙식을 한곳에서 해결할 수 있도록 공간조성 및 운영"
"‘창동·상계, 홍릉 창업연계 산학협력’ 구축","○ 서울형 R&D사업 및 대학연계를 통한 창업지원형 산학협력체계 구축"
"서울형 도시재생 1조원 투자","○ 다양한 행정적·재정적 지원으로 서울형 도시재생정책 조기 실현"
"도시재생본부 설립 및 도시재생자문위원회 운영","○ 경제·사회·문화적 활력 회복(도시재생)을 통한 지속 가능한 도시발전"
"SH공사를 도시재생 전문기관으로 육성","○ 시민이 행복한 주거가치 실현 및 지속 발전하는 희망 공기업 구현"
"물리적, 문화적, 경제적 통합형 도시재생 사업 추진","○ 물리적, 문화적, 경제적 통합형 도시재생사업 추진을 통한 주거 미래가치 및 도시활력 제고"
"환자 안심병원 5개 병원 1,000개 병상 확대","○ 5개 시립병원에 1,000병상 규모 보호자 없는 환자안심병원 운영"
"공공 노인요양원 30개소 설치","○ ’18년까지 공공요양시설 30개소 확충(’18년까지 21개소 완료, 9개소 착공)"
"어르신 요양정보안내 시스템 설치.운영","○ 어르신 요양정보 안내시스템 설치·운영(‘14. 7월)"
"데이케어센터(주·야간 보호) 100개소 확충","○ 주야간보호시설 100개소 확충"
"어르신 치매예방을 위한 기억키움학교 운영","○ 노인장기요양보험서비스를 받지 못하는 등급 외 치매어르신을 위한 ‘기억키움학교’ 확대(’14년 5개소 → ’18년 12개소)"
"서울형인증제 확대로 요양서비스 질 제고","○ 데이케어센터 인증 확대(총 179개소→272개소)
○ 노인요양시설 인증제 도입을 통한(82개소) 요양서비스 질 제고"
"시립 노인요양보호사 돌봄센터 4개소 설치","○ 어르신돌봄종사자 종합지원센터 권역별 추가 설치 : 4개소(’17년도 내)
○ 돌봄종사자에 대한 사회적 인식 개선을 위한 지속적인 캠페인 전개"
"50+ 캠퍼스 5개소 설치","○ 장년층(베이비부머 세대 포함)을 위한 50+캠퍼스 5개소 설치"
"50+ 센터 11개소 운영","○ 50+센터 11개소 건립(’18년까지 8개 완공, 3개 착공)"
"50+ 명예기관장제 도입","○ 베이비붐 세대를 지역복지시설 등의 명예기관장으로 발굴 임명"
"50+ 사회공헌아카데미 교육 확대","○ 베이비붐 세대의 사회공헌활동 기반마련 및 지역사회 리더 양성"
"50+ 마을컨설턴트 200명 양성","○ 베이비부머의 마을활동 강화를 위한 ’베이비부머 컨설턴트 양성’ :50명(’15) → 200명(’18)"
"50+ 경험과 노하우를 배우는 온라인 인생학교(TED) 조성","○ 50대 베이비부머의 경험과 노하우를 배울 수 있는 온라인 인생학교 구축"
"50+ 보람 일자리 5,000명 확대","○ 50+창업멘토단 등 보람일자리 ’18년까지 총 5,000명 확대"
"찾아가는 복지플래너(사회복지사+방문간호사) 실시","○ 사각지대 발굴, 사례관리 강화 등 ‘찾아가는 복지서비스 현실화’를 통해시민 복지체감도 제고
○ 사회복지사와 방문간호사의 연계 협조로 주민밀착형 보건·복지통합서비스 제공"
"주민센터 사회복지인력 두배 확대","○ 사회복지인력 2,000명 → 4,000명(사회복지사 2,000 명 신규증원)
○ 방문간호사400명 → 800명 이상으로 확대"
"동 주민센터를 민·관협력 복지허브 기구로 재구조화","○ 관 주도에서 주민 주도의 복지생태계 활성화를 통한 복지행정 패러다임의 혁신 추구
○ 주민이 찾아오는 행정에서 찾아가는 방문복지 중심의 복지행정으로 전환"
"국공립어린이집 1,000개소 확충","○ 2015년 163개소 2016년 302개소 2017년 300개소 2018년 250개소"
"재난의료전담센터 설치","○ 중증외상센터 2개소 설치(강북 1개소, 강남 1개소)"
"0~12세 아동에 대한 주치의제도 실시","○ 0~12세 아동의 개인별 주치의가 청소년기까지 필수건강 관리 지원"
"맞춤형 여성일자리 10만개 창출","○ 여성 대상별 맞춤형 직업훈련, 여성 사회서비스·공공 일자리, 여성인턴십 프로그램 운영 등을 통한 여성일자리 10만개 창출"
"돌봄 주부를 위한 주부휴가제 시행","○ 어르신·중증장애인 돌봄 가족의 휴가제 지원으로 가족관계 강화"
"범죄예방 서비스디자인을 적용한 ‘안전마을’ 50곳 만들기","○ 디자인을 통해 환경을 개선함으로써 범죄자의 심리를 위축시켜 범죄를 사전에 차단하는 범죄예방디자인 적용으로 시민의 삶의 질 향상, 범죄로 인한 사회적 비용 절감 및 예방행정의 새로운 패러다임 제시"
"<안심귀가 스카우트> 확대 운영","○ 여성과 청소년들의 안전한 귀가 지원을 통해 여성이 안전한 서울 조성"
"자치구별 1개 이상, 서울 가족학교(가족 Talk Talk 스쿨) 운영","○ 변화하는 서울의 가족형태와 가족주기를 반영한 시민생활 밀착형 가족지원서비스를 통해 건강한 가족, 이웃과 함께 어울리는 사회 분위기 조성
○ 가족간 세대간 화합을 위한 가족친화 프로그램을 개발 운영하여 ’가족과 함께하는 행복한 서울’ 기반 조성
○ ’15년에 11개소(광역1개소 포함) 구축을 시작으로 ’18년에 26개소 확대 운영"
"안심주택 8만호 공급(2018년)","○ 공공임대 6만호 + 민간임대 2만호"
"대형 장기전세주택 매각으로 재정건전성 확보","○ 2009. 6.26. 이전 사업승인 된 서울주택도시공사 소유 114㎡이상 장기전세주택(861호)를 타 공공주택사업자에게 매각"
"관리형 및 공공토지임대형 주택협동조합 육성","○ 공공주택협동조합 설립 및 공공주택의 자발적 민주적 운영관리를 통한 주거공동체 형성"
"민간임대주택 지원을 위한 국민주택기금 및 이자지원 확대","○ 민간의 자본을 활용한 민간임대주택시장의 자생적 활성화를 통한 서민주거안정 도모"
"전용면적 30~60m² 소형주택 20만호 공급 지원","○ 2~3인용 소형주택(30~60㎡) 임기내(’18.6월) 12만호 공급지원(’20년까지 20만호)"
"저렴 소형주택 집중공급을 위한 도시계획 지원강화","○ 2~3인용 소형주택(30~60㎡) 임기내(’18.6월) 12만호 공급지원(’20년까지 20만호)"
"주택임대차 표준계약서 의무사용 법제화 건의","○ 주택임대차표준계약서 활성화를 위한 대시민 홍보 및 법제화 건의"
"서울 주택임대차 분쟁조정위원회 권한 강화","○ 주택임대차분쟁조정위원회 운영 강화 및 구성 근거 마련을 위한 법 개정 건의"
"전월세 단기자금 규모 확대","○ 전월세 단기자금 규모 확대
- 기금 50억→100억 조성 (100세대 →150세대 지원 확대)"
"전월세 공공정보 및 민간거래정보를 연계한 통합정보제공 강화","○ 신뢰할 수 있는 부동산 정보제공으로 정보 불균형 해소
○ 세입자 권익보호를 통한 상생 전월세시대 기반구축"
"최우선 변제금 규모 정기조사, 지역별 표준(공정) 임대료 조사.시범공표 및 법령개정 건의, 표준임대료 준수 시, 전월세 주택관리대행 시범도입","○ 전월세 실거래자료를 통한 우선변제 대상 보증금 거래현황 파악 및 최우선 변제금 규모 파악
○ 지역별 표준(공정) 임대료 조사·시범공표 및 법령개정 건의
○ 표준임대료 준수 시, 전월세주택 관리대행 시범사업 실시"
"시민 모니터링요원 및 전담조직 신설","○ 부당한 거래정보 상시 감시체계 구축을 통한 공정시장 조성
○ 신뢰할 수 있는 부동산 정보제공으로 상생전월세시대 기반 마련"
"세대융합(화합)형 공공주택 공급","○ 장년층에게는 임대수입을 보장하고, 청년층에는 저렴한 임대료의 임대주택을 제공하는 세대융합(화합)형 공공주택 공급"
"서울형 주거급여제도(주택바우처) 대폭 확대","○ 심각한 전·월세난을 겪는 저소득층의 주거비 부담을 덜어줌으로써,시민 주거복지 수준 향상"
"SH공사 주거복지 전문기관 육성 및 SH 주거복지사업 예산 5,000억원 확보","○ SH공사 주거복지 전문기관으로의 육성을 통한 공공임대주택입주민 주거환경개선 및 삶의 질 향상에 기여"
"특수판매분야에 대한 특별사법경찰권 도입 추진","○ 민생범죄 대응을 위한 전담기구 설치와 수사역량 강화를 통한 수사력 집중으로 위법행위 시전예방 및 확산 차단"
"불공정피해 상담센터 기능 확대","○ 불공정피해 사전 예방활동 강화로 불공정행위에 대한 피해구제 및 예방"
"금융복지상담센터 확대 운영","○ 2015년 지역센터 확대(7→10개소)
○ 금융복지상담센터 종합상담 기능 수행 및 전문성 강화
○ 전담재판부 운영 효율화"
"청년두배통장’ 개설","○ 청년층의 저소득 상황 극복을 지원하기 위하여 저축에 의한 자산형성지원으로 저소득 청년층의 자립기반 구축"
"서울시내 초미세먼지 4년간 20%이상 감축(25→20μg/m³)","○ 초미세먼지 연평균 25㎍/㎥(’13년) ⇒ 20㎍/㎥(’18년) 달성"
"동북아 대도시 대기환경협의체 구성 및 대기개선 노하우 공유","○ 베이징 등 동북아 도시와 협력체계 구축을 통해 도시별 대기오염감축계획을 제시하고 실질적인 이행을 담보할 수 있도록 추진"
"초미세먼지 노출 예방 시스템 구축","○ 초미세먼지 예보시스템 구축 및 취약계층에 대한 황사마스크 지급으로 초미세먼지에 대한 시민노출을 최소화 하여 건강 보호"
"생활권 주변 10분거리 공원 조성","○ 공원녹지공간이 부족한 도심 생활권 공원녹지 확충으로 시민이 생활에서 체감하는 공원녹지 서비스 증대
○ 시민주도의 공원녹지 공간 조성과 관리로 지역커뮤니티 문화조성"
"유아숲 체험장 50개소 설치 등 생애주기별 힐링공원 조성","○ 생애주기별 힐링공원 60개소 조성
- 유아숲체험장 50개소, 청소년 체험의 숲 2개소, 치유의 숲길 8개소"
"걷고 싶은 서울길’ 완성","○ 길 문화 안전이 어우러진 ‘걷고 싶은 서울길을 완성’하고, 서울의 다양한 길을 통합 관리 안내할 수 있는 통합 안내시스템 운영"
"학교 80개교와 사회복지시설에 ‘싱싱텃밭’ 조성","○ 초등학교 학교농장 조성 : 80개교
○ 사회복지시설 텃밭 조성 : 560개소"
"생태 친화적 가로수길 ‘우리동네 산책길’ 조성","○ 생태적으로 건강하고 아름다운 주제와 특색이 있는 가로수 산책길 조성"
"시민참여형 소규모 햇빛발전소 확대","○ 미니태양광 4만호 보급, 태양광 시민펀드 조성 등 시민이 직접 에너지생산에 참여하여 기후변화 대응 및 전력자립에 기여"
"태양광 설치비’ 장기 저금리 융자지원","○ 건물주 발전사업자에게 태양광 설치비를 저리 융자하여 발전사업 초기부담을 완화하여 태양광 발전 확대 지원"
"녹색기업 지원을 통한 좋은 에너지 일터 조성","○ 자금, 인력, 경영, 판로지원 등 제도적 지원을 통한 기업육성이 일자리로연계될 수 있도록「지속가능한 녹색산업 생태계」조성"
"서울형 녹색기술 R&D 지원과 전문인력 양성 확대","○ 녹색산업에 대한 집중적인 연구 개발지원 및 전문 기능 인력의 지속적양성을 통해 녹색산업의 발전기반 조성"
"공공·작은도서관 지속적 확충 및 운영 개선","○ 공공도서관 172관, 작은도서관 940관으로 확충
○ 도서관 운영비 확대 지원하여 정보자료 서비스 수준 제고와독서문화 환경 조성으로 책으로 시민의 힘을 키우는 서울 구현
○ 서울시 모든 도서관을 이용할 수 있는 책이음서비스 시스템 구축 지원으로도서관 이용 촉진과 시민 이용 편의 향상"
"서울시네마테크’ 건립","○ 서울 영상문화의 거점, “서울시네마테크” 건립
- 상영관, 영화아카이브, 영화미디어센터 등 복합영화문화시설로서 기능"
"대중음악 전문 공연장’ 건립","○ 문화기반이 열악한 동북권에 대규모 공연이 가능한 ‘대중음악전문공연장’ 건립(’17년 12월 : 착공)"
"콘서트 홀’ 건립","○ 세계 최고 수준의 ‘정통 클래식 콘서트홀’ 건립(’19년 착공)으로 서울을음악의 도시로 조성
- 세계적 수준의 오케스트라 육성을 통한 공연·관광문화 수요 창출
- 세계의 다양한 예술가와 음악가들이 서로 만나 소통하는 클래식 음악의 메카로 기능"
"국악예술당’ 건립","○ 창덕궁·창경궁 부근의 돈화문로의 궁중樂舞 중심의 전통국악 거점시설 조성
○ 국내·외 궁 관광객과 연계하여 전통국악의 우수성 전파 및 문화적 자긍심 고취"
"서울공예박물관’ 건립","○ 서울 중심부에 공예 전문박물관을 건립하여 공예문화의 허브 공간 창출"
"생활체육 주말시민리그제 운영","○ 시민들의 생활체육 접근성 향상 위한 시설 인프라를 확충하고 시민리그제 운영으로 시민들의 생활체육 참여율 제고"
"한강 행복몽땅 축제 확대","○ 江이라는 공간 특성을 살린 문화여가프로그램을 확대하여 친환경적인 한강의 활용도를 높여 시민들에게 즐거움과 휴식공간을 제공하는 서울 대표 여름축제로 정착 발전"
"생활 속의 전면 보행전용거리 확대","○ 보행전용거리 확대로 사람 중심의 안전하고 쾌적한 보행환경 조성"
"지역 상인·거주민 합의 후, 소규모 보행 전용지구 신청","○ 보행전용거리 확대로 사람 중심의 안전하고 쾌적한 보행환경 조성"
"도심 광폭도로에 대한 도로 다이어트 추진","○ 시민이 안전하고 편리하게 생활할 수 있도록 도심 도로의 차량 공간을 축소하여 보행중심의 시민활동 공간으로 재편 추진"
"다양한 보행친화도로 개선사업 추진","○ 대각선 및 광폭 횡단보도 등 다양한 보행친화도로 개선사업 추진을 통해 보행자의 이동편의 증진과 보행권 확보"
"빅데이터 분석을 통해 시민이동성 케어센터(MM Center) 운영","○ 시민 누구나 차별 없이 누리는 보행중심의 시민이동케어 서비스 실현"
"지하철역 엘리베이터 설치 지속추진, 공공시설 장애인 동선 확보","○ 교통약자의 이동권 보장에 대한 사회적 요구가 지속적으로 증가함에 따라 지하철 이동편의시설 설치 지속추진"
"제물포대로, 서부간선도로, 동부간선도로 지하화 및 상부 공원화 추진","○ 자동차 중심의 도시고속도로(제물포로, 서부간선도로, 동부간선도로)를 지하화 및 일반도로화하고 이를 통해 확보된 공간에 공원 조성"
"수도권연계 광역도시철도 신설 및 제3기 도시철도 조기 추진","○ 수도권 교통난 해소를 위해 수도권 연계 광역도시철도 건설 추진
- ’18. 6월까지 신분당선연장선, 남부광역급행철도, KTX 동북부연장선을 국가철도망구축계획에 반영되도록 국토부 등 관계부처와 지속 협의
○ 차질 없는 민자사업 절차이행을 통해 제3기 도시철도 조기추진
- ’18. 6월까지 7개 노선 협약체결 완료, 5개 노선 착공, 1개 노선 개통 완료"
"지역 아동예술교육센터 10개소 설립","○ 유휴공간을 활용한 권역별 조성(4개소), 유사시설 기능개편(6개소)을 통한 지역예술교육센터 10개소 조성"
"테마교육공원 4개소 조성","○ 기존 공원의 인프라를 활용한 미래지향적 학습과 체험활동 강화
○ 지역특성을 반영한 5대 권역별로 추진
- 동부권 : 어린이·청소년 문화·체험 교육공원(어린이대공원)
- 서부권 : 에너지·환경 교육공원(월드컵공원)
- 남부권 : 다함께 자연과 하나되는 생태문화 교육공원(서울대공원)
- 북부권 : 문화예술과 역사가 흐르는 교육공원(북서울꿈의숲공원)
- 중부권 : 나비와 곤충테마 교육공원(서울숲공원)"
"에코스쿨(학교 공원내) 80개교 조성","○ 에코스쿨(학교공원화) 80개교 조성"
"아토피 캠프, 아토피 힐링프로그램 확대 운영","○ 지자체 아토피 치유체험 캠프 프로그램 확대 운영(’18년 1,000가족)
- 1박2일 캠프(누계) : ’14년 100가족 200명 → ’15년 250가족 500명→ ’16년 500가족 1,000명 → ’18년 1,000가족 2,000명"
"아토피·천식 안심학교 인증제 확대","○ 아토피·천식 안심학교 인증제 확대
- 인증목표(누계) : '14년 15개소 → '15년 25개소 → '16년 40개소 → '18년75개소(대상학교의 15%)"
"시민들의 삶의 질 향상을 위한 평생교육 지원","① 개방형 서울자유시민대학 설립 운영
- 커뮤니티칼리지 및 뮌헨시민대학 형식의 평생교육체계 도입
- 비학위 및 학점은행제 과정 병행을 통한 누구에게나 열려 있는 개방형 대학 운영
※ 개방형 대학 운영을 위한 별도의 건물 확보 검토
② 2년제 개방형 비학위 정규과정 운영 (4개 분야 120개 강좌)
- 비학위 중심 운영(2년 과정), 1년 과정 학점이수제
③ 인증서(서울시장명의) 수여
- 누적된 이수단위가 자체 취득기준 충족 시 인증서(졸업장) 수여"
"<사회적경제 지역허브> 공간 조성","○ 사회적경제 클러스터 공간 조성 : 10개소(’14년~’18년 6월)"
"은평 <서울혁신 파크> 세계 수준화 및 사회혁신 파크 추가 조성","○ 새로운 사회·경제적 가치를 창출하는 사회 혁신의 글로벌 중추기지 조성"
"골목경제 협동조합을 위한 공동협업사업 지원","○ 다양한 분야에서 협동조합의 설립되고 안정적으로 운영될 수 있도록 설립지원과 함께 경영 및 운영내실화 지원
○ 지역단위 협동조합 활성화 및 민간 역량강화 지원을 통한 자립기반조성 추진"
"생활서비스 제공하는 사회적경제기업 육성","○ 지역단위의 생활서비스를 제공하는 사회적경제 조직 육성 등을 통한자립기반 조성과 사회적경제 지속가능성 제고
○ 분야별 지원정책 연계 및 기업별 맞춤형 지원으로 생활서비스 분야 사회적경제 기업 창업 지원 및 우수기업 육성"
